Year,ID,Please indicate your graduation status.,Please provide your year of enrollment (graduation year for graduates),Are you currently employed?,Are you pursuing a major other than Library and Information Science(LIS)?,Did you have a career goal when you entered school?,What is your intended career path at the time of admission?,Do you currently have a career goal?,What career path do you intend to pursue currently?,Why aren't you currently pursuing a career path?,"If your career aspirations have changed since you entered school, what prompted the change?",What influenced your career aspirations then and now?,What are your usual career concerns?,How do you usually approach concerns regarding your career?,What are your favorite topics in the library and information science curriculum?,Describe any supplementary courses you'd wish to be introduced within the Department of LIS,What are the benefits of a multidisciplinary major?,What are the disadvantages of a multidisciplinary major?,Do you believe that obtaining a multidisciplinary major will enhance your employment prospects?,Did you choose a multidisciplinary major during your undergraduate program?,What multidisciplinary major have you chosen?,"If you've designed your own major(self-design major) or pursued multiple majors, please provide a list of all the majors included in your program.",What influenced your decision to pursue this multidisciplinary major?,What are some of the challenges and issues you faced while completing a multidisciplinary program?,What influenced your choice to not complete a multidisciplinary major?,How do you usually get information about employment?,Did you feel that information within the department was adequately shared about employment opportunities (when you were an undergraduate student),What is your preferred method of sharing information about employment within your department?,What career enrichment programs do you think are needed in the LIS?,What career-related programs do you think are needed in the LIS?,Please write any desired career-related programs in LIS that were not mentioned in the above options.,How do you think we should communicate with undergraduate students and alumni?,What career paths do you think are available to a LIS major?,Please write any possible career paths for LIS majors that aren't mentioned in the above options.,What field of work are you currently in or aiming for?,What type of library do you work in or want to work in?,What is your desired/current specific occupation?,What is your desired/current job area?,Please write in any additional desired or current career field.,What annual salary range are you hoping for or currently earning?,How long do you expect/did it take to become prepared for employment?,Are you currently taking any steps to prepare for your desired career path and future employment?,What specific activities or preparations are you currently undertaking/did you previously engage in to position yourself for your desired career path?,What has stopped you from pursuing your desired career path?,What was the toughest hurdle you faced while getting prepared for your job/career field?,What is the most important value for you when choosing a career path after getting a job?,What is your second most important value when choosing a career path?,What is your third most important value when choosing a career path?,Did your work values change after starting your job/career?,What has become the most important factor for you when considering career paths after gaining work experience?,What has become the second most important factor for you when considering career paths after gaining work experience?,What has become the third most important factor for you when considering career paths after gaining work experience?,How satisfied are you with your current job?,Would you recommend your current workplace to undergraduate students in the LIS?,"Are you considering going to graduate school, or have you already attended?",Which graduate school do you want to attend or have you attended?,"When do you plan to start graduate school, or when did you actually start your studies?",What is the purpose of attending graduate school?,What were some of the challenges you faced while getting ready for graduate school?,Why haven't you thought about attending graduate school?,Do you plan to go to graduate school in the future?,What graduate school are you interested in attending in the future?
2021,20210101,Undergraduate students,2019,N/A,N/Q,No,N/A,Yes,Private enterprise,N/A,Other,N/Q,I don't know what I'm interested in,Discuss with friends;Keep to yourself,Information Science,N/R,Interdisciplinary opportunities,Workload burden;Time burden (possible extra semester),N/Q,Yes,Convergence major-Software Humanities,N/A,Related to my interests and aptitudes,Nothing,N/A,"Private recruitment sites (e.g. Job Korea, Saramin, etc.)",Agree,LIS group chatting,N/R,N/Q,N/Q,LIS group chatting,Librarians;Various,N/Q,Private enterprise,N/A,Management/Office;Service,N/A,N/A,Over 55 million won,1 year,No,N/A,I didn't feel the need to prepare,N/Q,Salary,Work-Life balance,Society perception,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
2021,20210102,Undergraduate students,2016,N/A,N/Q,No,N/A,Yes,Public enterprise,N/A,Identify new aptitudes/interests,N/Q,I don't know what I'm interested in;No place to get career information,Talk to your seniors;Do an internet search;Browse in Everytime,Information Science,Programming (R/Python/SQL),Interdisciplinary opportunities;Expand your career options,Time burden (possible extra semester),N/Q,No,N/A,N/A,N/A,N/A,E,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Internet portal sites (e.g. Google, Naver, etc.);The University's Career Center (e.g. Rainbow System)",Disagree,LIS group chatting;Regular meetings between alumni and current students;Lectures about career,Mentoring from department seniors and incumbents,N/Q,N/Q,"LIS group chatting;Meet with current students/alumni non-face-to-face (ZOOM, etc.)",Various,N/Q,Government employees (except librarians),N/A,N/A,General administrator,N/A,Over 25 million won and under 30 million won,2 years,Yes,Other,N/A,N/A,Job security,Work-Life balance,Salary,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research;High tuition fees,N/A,N/A
2021,20210103,Undergraduate students,2018,N/A,N/Q,Yes,Librarians;Teacher librarians;Archivist;Public enterprise;Government employees (except librarians),Yes,Librarians;Government employees (except librarians),N/A,Your desired career path is not different at either time,N/Q,Other,Do an internet search;Keep to yourself,Information Service,N/R,Interdisciplinary opportunities;Expand your career options,Time burden (possible extra semester),N/Q,Yes,Joint major-Public enterprise management,N/A,To fulfill career requirements,Nothing,N/A,"Internet portal sites (e.g. Google, Naver, etc.)",Disagree,LIS group chatting;Regular meetings between alumni and current students;Lectures about career,N/R,N/Q,N/Q,"LIS group chatting;Meet with current students/alumni non-face-to-face (ZOOM, etc.);Everytime(student online community)",Librarians,N/Q,Government employees (except librarians),N/A,N/A,Librarian,N/A,Over 25 million won and under 30 million won,2 years,Yes,Earn certifications;Language preparation,N/A,N/A,Job security,Salary,Self-realization,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
2021,20210104,Undergraduate students,2019,N/A,N/Q,Yes,Librarians;Teacher librarians;Government employees (except librarians),Yes,Teacher librarians,N/A,Your desired career path is not different at either time,N/Q,No worries,Discuss with friends;Keep to yourself,Classification and cataloging,N/R,Interdisciplinary opportunities;Expand your career options,Credit burden;Workload burden;Time burden (possible extra semester),N/Q,No,N/A,N/A,N/A,N/A,E,"Internet portal sites (e.g. Google, Naver, etc.);The University's Career Center (e.g. Rainbow System)",Agree,LIS official Instagram;LIS website;LIS group chatting;Regular meetings between alumni and current students;Lectures about career,Mentoring from department seniors and incumbents,N/Q,N/Q,"LIS group chatting;Meet with current students/alumni non-face-to-face (ZOOM, etc.);Meet with current students/alumni face-to-face",Librarians;Archivist;Data specialist,N/Q,Librarians,Public libraries;Other libraries,N/A,N/A,N/A,Over 30 million won and under 35 million won,2 years,Yes,Grades;Other,N/A,N/A,Job security,Work-Life balance,Salary,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
2021,20210105,Undergraduate students,2019,N/A,N/Q,No,N/A,Yes,Other,N/A,Other,N/Q,"I'm thinking about a career, but I don't have a clear direction",Ask a professor for a consultation;Do an internet search;Browse in Everytime;Keep to yourself;other,Information Science,Statistics,Expand your career options,Credit burden;Workload burden;Time burden (possible extra semester),N/Q,No,N/A,N/A,N/A,N/A,E,"Internet portal sites (e.g. Google, Naver, etc.)",Neither agree nor disagree,LIS website,N/R,N/Q,N/Q,Everytime(student online community),Various,N/Q,Private enterprise,N/A,Management/Office,N/A,N/A,Over 55 million won,1 year,No,N/A,I thought it was too early to prepare,N/Q,Work-Life balance,Aptitude and interest,Society perception,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
2021,20210106,Undergraduate students,2019,N/A,N/Q,Yes,Teacher librarians;Publishing,Yes,Publishing,N/A,Your desired career path is not different at either time,N/Q,"I'm thinking about a career, but I don't have a clear direction",Discuss with friends;Keep to yourself,Classification and cataloging,N/R,Interdisciplinary opportunities;Expand your career options,Credit burden;Workload burden;Time burden (possible extra semester),N/Q,Yes,Multi major-Department of Korean Language and Literature,N/A,To fulfill career requirements,Burden of amount of studies,N/A,"Private recruitment sites (e.g. Job Korea, Saramin, etc.)",Strongly disagree,LIS website;Mail (sharing job information via personal email);LIS group chatting,N/R,N/Q,N/Q,LIS group chatting;LIS website;LIS official Instagram;Everytime(student online community),Various;Data specialist;Librarians;Publishing,N/Q,Private enterprise,N/A,Other,N/A,N/A,Over 20 million won and under 25 million won,1 year,Yes,Grades,N/A,N/A,Job security,Aptitude and interest,Work-Life balance,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research;High tuition fees,N/A,N/A
2021,20210107,Undergraduate students,2018,N/A,N/Q,No,N/A,Yes,Teacher librarians;Archivist,N/A,Your desired career path is not different at either time,N/Q,"No place to get career information;I'm thinking about a career, but I don't have a clear direction",Discuss with friends;Do an internet search,Library management,Library Management/Planning;School library,Interdisciplinary opportunities,Time burden (possible extra semester),N/Q,Yes,Completion of teaching position,N/A,To fulfill career requirements,Lack of information,N/A,"Internet portal sites (e.g. Google, Naver, etc.)",Disagree,LIS official Instagram;Mail (sharing job information via personal email);LIS group chatting;Regular meetings between alumni and current students,N/R,N/Q,N/Q,"LIS group chatting;Meet with current students/alumni non-face-to-face (ZOOM, etc.);Meet with current students/alumni face-to-face",Publishing;Librarians;Data specialist,N/Q,Government employees (except librarians),N/A,N/A,Correctional Service;Record management,N/A,Over 40 million won and under 45 million won,1 year,Yes,Earn certifications,N/A,N/A,Work-Life balance,Job security,Self-realization,N/A,N/A,N/A,N/A,N/A,N/A,Yes,LIS in same university as undergraduate,After graduation and getting a job,Self-development;Strengthening of expertise,N/Q,N/A,N/A,N/A
2021,20210108,Undergraduate students,2017,N/A,N/Q,Yes,Librarians;Teacher librarians,No,N/A,Lack of values about the direction of your personal life;Not yet thinking about a career path;You don't know what you're good at yet;You don't know what you like yet,Other,N/Q,"I don't know what I'm interested in;No place to get career information;I'm thinking about a career, but I don't have a clear direction",Do an internet search;Keep to yourself,Bibliography,Deeper data analysis,Expand your career options;Other,Time burden (possible extra semester);Weakened expertise,N/Q,Yes,Multi major-Department of Korean Language and Literature,N/A,To broaden your job search,Difficulty organizing timetables;Difficulty signing up for a course,N/A,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Government job sites (e.g. WorkNet, WorldJob, etc.);Internet portal sites (e.g. Google, Naver, etc.)",Neither agree nor disagree,LIS website;Mail (sharing job information via personal email),N/R,N/Q,N/Q,LIS group chatting;LIS website;Everytime(student online community),Librarians,N/Q,Librarians,National libraries;Public libraries;Small libraries,N/A,N/A,N/A,Over 25 million won and under 30 million won,1 year,No,N/A,I don't have a set career path.;I didn't feel the need to prepare;I thought it was too early to prepare,N/Q,Work-Life balance,Aptitude and interest,Self-realization,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,High tuition fees;Dissatisfaction with graduate education,N/A,N/A
2021,20210109,Undergraduate students,2018,N/A,N/Q,Yes,Journalist,Yes,Librarians;Government employees (except librarians),N/A,Other,N/Q,"I'm thinking about a career, but I don't have a clear direction;Other",Discuss with friends;Talk to your seniors;Ask a professor for a consultation;Do an internet search;Keep to yourself,Library management,Library Management/Planning,Interdisciplinary opportunities,Credit burden,N/Q,Yes,Convergence major-Cultural Content,N/A,Related to my interests and aptitudes,Nothing,N/A,"Internet portal sites (e.g. Google, Naver, etc.)",Strongly disagree,LIS official Instagram;LIS website;Mail (sharing job information via personal email);LIS group chatting;Regular meetings between alumni and current students;Lectures about career,Conferences/Studies,N/Q,N/Q,"LIS group chatting;Meet with current students/alumni non-face-to-face (ZOOM, etc.);LIS website",Librarians;Teacher librarians;Data specialist,N/Q,Librarians,National libraries;Public libraries,N/A,N/A,N/A,Over 25 million won and under 30 million won,1 year,Yes,Grades;Earn certifications;Language preparation,N/A,N/A,Aptitude and interest,Self-realization,Job security,N/A,N/A,N/A,N/A,N/A,N/A,Yes,LIS in same university as undergraduate,After graduation and getting a job,Get ready for work;Strengthening of expertise,N/Q,N/A,N/A,N/A
2021,20210110,Undergraduate students,2019,N/A,N/Q,Yes,Librarians;Public enterprise;Government employees (except librarians),Yes,Public enterprise,N/A,Your desired career path is not different at either time,N/Q,No place to get career information,Do an internet search;Browse in Everytime;other,Bibliography,N/R,Interdisciplinary opportunities;Expand your career options,Time burden (possible extra semester),N/Q,Yes,Multi major-Department of Korean Language and Literature,N/A,Related to my interests and aptitudes,Nothing,N/A,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Government job sites (e.g. WorkNet, WorldJob, etc.);Internet portal sites (e.g. Google, Naver, etc.)",Disagree,LIS website;Mail (sharing job information via personal email);Lectures about career,N/R,N/Q,N/Q,"Meet with current students/alumni non-face-to-face (ZOOM, etc.);Everytime(student online community)",Librarians;Archivist,N/Q,Public enterprise,N/A,Management/Office,N/A,N/A,Over 25 million won and under 30 million won,Within 1 year,Yes,Grades;Earn certifications;Volunteer activity;Language preparation;External activities (supporters/societies/clubs/studies/etc.),N/A,N/A,Work-Life balance,Job security,Organizational culture,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,High tuition fees,N/A,N/A
